ID,,Sentence,
TA_F_35000,,ஆதி அந்தமில்லாத கால வெள்ளத்தில் கற்பனை ஓடத்தில் ஏறி நம்முடன் சிறிது நேரம் பிரயாணம் செய்யுமாறு நேயர்களை அழைக்கிறோம்.,
TA_F_35001,,விநாடிக்கு ஒரு நூற்றாண்டு வீதம் எளிதில் கடந்து இன்றைக்குத் தொள்ளாயிரத்து எண்பத்திரண்டு (1950ல் எழுதியது) ஆண்டுகளுக்கு முந்திய காலத்துக்குச் செல்வோமாக.,
TA_F_35002,,"தொண்டை நாட்டுக்கும் சோழ நாட்டுக்கும் இடையில் உள்ள திருமுனைப்பாடி நாட்டின் தென்பகுதியில், தில்லைச் சிற்றம்பலத்துக்கு மேற்கே இரண்டு காததூரத்தில், அலை கடல் போன்ற ஓர் ஏரி விரிந்து பரந்து கிடக்கிறது.",
TA_F_35003,,அதற்கு வீரநாராயண ஏரி என்று பெயர்.,
TA_F_35004,,அது தெற்கு வடக்கில் ஒன்றரைக் காத நீளமும் கிழக்கு மேற்கில் அரைக் காத அகலமும் உள்ளது.,
TA_F_35005,,காலப்போக்கில் அதன் பெயர் சிதைந்து இந்நாளில் ‘வீராணத்து ஏரி’ என்ற பெயரால் வழங்கி வருகிறது.புது வெள்ளம் வந்து பாய்ந்து ஏரியில் நீர் நிரம்பித் ததும்பி நிற்கும் ஆடி ஆவணி மாதங்களில் வீரநாராயண ஏரியைப் பார்ப்பவர் எவரும் நம்முடைய பழந்தமிழ் நாட்டு முன்னோர்கள் தங்கள் காலத்தில் சாதித்த அரும்பெரும் காரியங்களைக் குறித்துப் பெருமிதமும் பெரு வியப்பும் கொள்ளாமலிருக்க முடியாது.,
TA_F_35006,,நம் மூதாதையர்கள் தங்களுடைய நலனுக்கும் தங்கள் காலத்திய மக்களின் நலனுக்கும் உரிய காரியங்களை மட்டுமா செய்தார்கள்?,
TA_F_35007,,தாய்த் திருநாட்டில் தங்களுக்குப் பிற்காலத்தில் வாழையடி வாழையாக வரப்போகும் ஆயிரங்கால சந்ததிகளுக்கும் நன்மை பயக்கும் மாபெரும் செயல்களை நிறைவேற்றி விட்டுப் போனார்கள் அல்லவா?,
TA_F_35008,,ஆடித் திங்கள் பதினெட்டாம் நாள் முன் மாலை நேரத்தில் அலை கடல் போல் விரிந்து பரந்திருந்த வீர நாராயண ஏரிக்கரை மீது ஒரு வாலிப வீரன் குதிரை ஏறிப் பிரயாணம் செய்து கொண்டிருந்தான்.,
TA_F_35009,,அவன் தமிழகத்து வீர சரித்திரத்தில் புகழ்பெற்ற வாணர் குலத்தைச் சேர்ந்தவன்.,
TA_F_35010,,வல்லவரையன் வந்தியத்தேவன் என்பது அவன் பெயர்.,
TA_F_35011,,நெடுந்தூரம் பிரயாணம் செய்து அலுத்துக்களைத்திருந்த அவனுடைய குதிரை மெள்ள மெள்ள நடந்து சென்று கொண்டிருந்தது.,
TA_F_35012,,அதைப் பற்றி அந்த இளம் வீரன் கவலைப்படவில்லை.,
TA_F_35013,,அகண்டமான அவன் வீர நாராயண ஏரியின் தோற்றம் அவன் உள்ளத்தை அவ்வளவாக வசீகரித்திருந்தது.,
TA_F_35014,,ஆடிப் பதினெட்டாம் பெருக்கன்று சோழநாட்டு நதிகளிலெல்லாம் வெள்ளம் இருகரையும்தொட்டுக் கொண்டு ஓடுவது வழக்கம்.,
